5
L0;Fourth Floor
T0;L0;Finishing;Cement/Concrete Finisher;4,00;*
T1;L0;Electricity;Electrician;3,00;T0
T2;L0;Sewage;Plumber;6,00;T1
T3;L0;Piping;Roofing Mechanic;4,00;T2
T4;L0;Sewage;Plumber;6,00;T3
T5;L0;Insulation;Insulation Worker;3,50;T4
T6;L0;Interior Walls;Painter;4,50;T5
T7;L0;Wood Framing;Carpenter;6,00;T6
T8;L0;Glass Installation;Glazier;4,00;T7
T9;L0;Piping;Roofing Mechanic;4,00;T8
L1;Ground Level
T0;L1;Heating/AC;HVAC Tech;4,00;*
T1;L1;Finishing;Cement/Concrete Finisher;4,00;T0
T2;L1;Interior Walls;Painter;4,50;T1
T3;L1;Sewage;Plumber;6,00;T2
T4;L1;Sewage;Plumber;6,00;T3
T5;L1;Wood Framing;Carpenter;6,00;T4
T6;L1;Piping;Roofing Mechanic;4,00;T5
T7;L1;Heating/AC;HVAC Tech;4,00;T6
T8;L1;Electricity;Electrician;3,00;T7
T9;L1;Piping;Roofing Mechanic;4,00;T8
L2;Ground Level
T0;L2;Finishing;Cement/Concrete Finisher;4,00;*
T1;L2;Finishing;Cement/Concrete Finisher;4,00;T0
T2;L2;Wood Framing;Carpenter;6,00;T1
T3;L2;Interior Walls;Painter;4,50;T2
T4;L2;Heating/AC;HVAC Tech;4,00;T3
T5;L2;Wood Framing;Carpenter;6,00;T4
T6;L2;Heating/AC;HVAC Tech;4,00;T5
T7;L2;Insulation;Insulation Worker;3,50;T6
T8;L2;Wood Framing;Carpenter;6,00;T7
T9;L2;Electricity;Electrician;3,00;T8
L3;Ground Level
T0;L3;Glass Installation;Glazier;4,00;*
T1;L3;Flooring;Flooring Installer;6,50;T0
T2;L3;Insulation;Insulation Worker;3,50;T1
T3;L3;Electricity;Electrician;3,00;T2
T4;L3;Interior Walls;Painter;4,50;T3
T5;L3;Interior Walls;Painter;4,50;T4
T6;L3;Piping;Roofing Mechanic;4,00;T5
T7;L3;Heating/AC;HVAC Tech;4,00;T6
T8;L3;Wood Framing;Carpenter;6,00;T7
T9;L3;Interior Walls;Painter;4,50;T8
L4;Third Floor
T0;L4;Wood Framing;Carpenter;6,00;*
T1;L4;Interior Walls;Painter;4,50;T0
T2;L4;Heating/AC;HVAC Tech;4,00;T1
T3;L4;Heating/AC;HVAC Tech;4,00;T2
T4;L4;Flooring;Flooring Installer;6,50;T3
T5;L4;Glass Installation;Glazier;4,00;T4
T6;L4;Electricity;Electrician;3,00;T5
T7;L4;Piping;Roofing Mechanic;4,00;T6
T8;L4;Sewage;Plumber;6,00;T7
T9;L4;Flooring;Flooring Installer;6,50;T8
10
Insulation Worker;3
Roofing Mechanic;6
Painter;7
Cement/Concrete Finisher;4
Plumber;5
Flooring Installer;3
Electrician;5
Glazier;3
HVAC Tech;7
Carpenter;7
