5
L0;Second Floor
T0;L0;Piping;Roofing Mechanic;2;4,00;1;*
T1;L0;Electricity;Electrician;4;3,00;1;T0
T2;L0;Sewage;Plumber;3;6,00;0;T1
T3;L0;Electricity;Electrician;4;3,00;0;T2
T4;L0;Wood Framing;Carpenter;3;6,00;0;T3
T5;L0;Piping;Roofing Mechanic;2;4,00;0;T4
T6;L0;Piping;Roofing Mechanic;2;4,00;0;T5
T7;L0;Flooring;Flooring Installer;2;6,50;0;T6
T8;L0;Heating/AC;HVAC Tech;2;4,00;1;T7
T9;L0;Piping;Roofing Mechanic;3;4,00;1;T8
L1;Ground Level
T0;L1;Wood Framing;Carpenter;4;6,00;0;*
T1;L1;Insulation;Insulation Worker;3;3,50;2;T0
T2;L1;Wood Framing;Carpenter;5;6,00;2;T1
T3;L1;Electricity;Electrician;3;3,00;0;T2
T4;L1;Interior Walls;Painter;5;4,50;2;T3
T5;L1;Piping;Roofing Mechanic;2;4,00;1;T4
T6;L1;Wood Framing;Carpenter;4;6,00;0;T5
T7;L1;Interior Walls;Painter;2;4,50;0;T6
T8;L1;Flooring;Flooring Installer;2;6,50;1;T7
T9;L1;Insulation;Insulation Worker;1;3,50;2;T8
L2;Second Floor
T0;L2;Interior Walls;Painter;4;4,50;3;*
T1;L2;Wood Framing;Carpenter;5;6,00;3;T0
T2;L2;Insulation;Insulation Worker;1;3,50;0;T1
T3;L2;Glass Installation;Glazier;2;4,00;2;T2
T4;L2;Flooring;Flooring Installer;1;6,50;1;T3
T5;L2;Glass Installation;Glazier;4;4,00;0;T4
T6;L2;Piping;Roofing Mechanic;3;4,00;2;T5
T7;L2;Wood Framing;Carpenter;4;6,00;0;T6
T8;L2;Insulation;Insulation Worker;3;3,50;0;T7
T9;L2;Heating/AC;HVAC Tech;2;4,00;1;T8
L3;Fourth Floor
T0;L3;Heating/AC;HVAC Tech;4;4,00;1;*
T1;L3;Glass Installation;Glazier;5;4,00;0;T0
T2;L3;Wood Framing;Carpenter;2;6,00;0;T1
T3;L3;Heating/AC;HVAC Tech;2;4,00;0;T2
T4;L3;Flooring;Flooring Installer;4;6,50;1;T3
T5;L3;Heating/AC;HVAC Tech;3;4,00;0;T4
T6;L3;Electricity;Electrician;5;3,00;2;T5
T7;L3;Interior Walls;Painter;5;4,50;1;T6
T8;L3;Finishing;Cement/Concrete Finisher;1;4,00;0;T7
T9;L3;Piping;Roofing Mechanic;5;4,00;2;T8
L4;Ground Level
T0;L4;Electricity;Electrician;2;3,00;0;*
T1;L4;Flooring;Flooring Installer;4;6,50;2;T0
T2;L4;Insulation;Insulation Worker;3;3,50;1;T1
T3;L4;Piping;Roofing Mechanic;3;4,00;2;T2
T4;L4;Insulation;Insulation Worker;2;3,50;0;T3
T5;L4;Wood Framing;Carpenter;4;6,00;0;T4
T6;L4;Electricity;Electrician;1;3,00;0;T5
T7;L4;Finishing;Cement/Concrete Finisher;2;4,00;0;T6
T8;L4;Wood Framing;Carpenter;2;6,00;4;T7
T9;L4;Insulation;Insulation Worker;4;3,50;1;T8
10
Insulation Worker;7
Roofing Mechanic;8
Painter;4
Cement/Concrete Finisher;2
Plumber;1
Flooring Installer;5
Electrician;6
Glazier;3
HVAC Tech;5
Carpenter;9
