Id,Zone,Task operation,Duration,Resources,Craft,Construciton order
0.0,z0,Floor,1,1,Electrician,
1.0,z0,Structural Foundation,3,2,Carpenter,0.0
2.0,z0,Structural Walls,3,2,Electrician,1.0
3.0,z0,Sewage,8,1,Carpenter,2.0
4.0,z0,Interior Walls,3,1,VVS,3.0
5.0,z0,Sewage,4,3,Carpenter,4.0
6.0,z0,Gypsum,7,3,Painter,5.0
7.0,z0,Interior Walls,6,3,Painter,6.0
8.0,z0,Gypsum,4,1,VVS,7.0
9.0,z0,Piping,7,2,Painter,8.0
10.0,z0,Piping,6,3,Concrete,9.0
11.0,z0,Sewage,2,1,Electrician,10.0
12.0,z0,Electricity,3,2,Carpenter,11.0
13.0,z0,Floor,5,1,Electrician,12.0
14.0,z0,Electricity,3,1,Painter,13.0
15.0,z0,Electricity,7,2,Electrician,14.0
16.0,z0,Piping,8,2,Carpenter,15.0
17.0,z0,Gypsum,7,3,Concrete,16.0
18.0,z0,Structural Walls,2,2,Painter,17.0
19.0,z0,Floor,5,1,Painter,18.0
20.0,z0,Sewage,8,3,Concrete,19.0
21.0,z0,Floor,1,3,Electrician,20.0
22.0,z0,Sewage,6,1,Electrician,21.0
23.0,z0,Electricity,3,1,VVS,22.0
24.0,z0,Gypsum,6,1,Carpenter,23.0
25.0,z0,Interior Walls,3,1,Painter,24.0
26.0,z0,Floor,8,2,Painter,25.0
27.0,z0,Structural Foundation,5,2,Painter,26.0
28.0,z0,Structural Foundation,8,2,VVS,27.0
29.0,z0,Sewage,2,1,Carpenter,28.0
30.0,z0,Floor,9,1,Concrete,29.0
31.0,z0,Gypsum,9,2,Carpenter,30.0
32.0,z0,Electricity,4,1,Carpenter,31.0
33.0,z0,Structural Foundation,5,3,Electrician,32.0
34.0,z0,Structural Foundation,8,1,Electrician,33.0
35.0,z0,Sewage,6,3,Concrete,34.0
36.0,z0,Sewage,6,2,Concrete,35.0
37.0,z0,Electricity,9,1,VVS,36.0
38.0,z0,Structural Foundation,6,2,Electrician,37.0
39.0,z0,Sewage,8,2,VVS,38.0
40.0,z0,Structural Walls,9,2,Painter,39.0
41.0,z0,Interior Walls,9,3,Painter,40.0
