Id,Zone,Task operation,Duration,Resources,Craft,Construciton order
0.0,z0,Floor,6,1,Carpenter,
1.0,z0,Sewage,8,1,Electrician,0.0
2.0,z0,Electricity,8,2,Carpenter,1.0
3.0,z0,Structural Foundation,5,2,Concrete,2.0
4.0,z0,Interior Walls,4,2,Carpenter,3.0
5.0,z0,Sewage,4,1,VVS,4.0
6.0,z0,Floor,5,2,Concrete,5.0
7.0,z0,Piping,9,2,Concrete,6.0
8.0,z0,Interior Walls,2,3,Concrete,7.0
9.0,z0,Electricity,5,1,Painter,8.0
10.0,z0,Floor,3,2,Painter,9.0
11.0,z0,Gypsum,7,2,Painter,10.0
12.0,z0,Structural Foundation,9,2,Carpenter,11.0
13.0,z0,Sewage,6,1,Electrician,12.0
14.0,z0,Interior Walls,8,3,Electrician,13.0
15.0,z0,Piping,5,2,Painter,14.0
16.0,z0,Electricity,7,2,VVS,15.0
17.0,z0,Sewage,8,3,Electrician,16.0
18.0,z0,Sewage,4,2,VVS,17.0
19.0,z0,Floor,9,3,Concrete,18.0
20.0,z0,Interior Walls,2,1,VVS,19.0
21.0,z0,Gypsum,9,2,VVS,20.0
22.0,z0,Structural Foundation,4,2,Electrician,21.0
23.0,z0,Floor,3,1,Painter,22.0
24.0,z0,Electricity,8,1,Carpenter,23.0
25.0,z0,Structural Foundation,3,2,Carpenter,24.0
26.0,z0,Structural Walls,6,2,Carpenter,25.0
27.0,z0,Piping,2,2,Carpenter,26.0
28.0,z0,Structural Foundation,7,2,VVS,27.0
29.0,z0,Sewage,9,2,Carpenter,28.0
30.0,z0,Piping,7,1,VVS,29.0
31.0,z0,Sewage,6,2,Carpenter,30.0
32.0,z0,Piping,8,2,Carpenter,31.0
33.0,z0,Structural Walls,4,2,Concrete,32.0
34.0,z0,Electricity,6,3,Electrician,33.0
35.0,z0,Structural Foundation,7,3,Painter,34.0
36.0,z0,Structural Walls,8,3,Electrician,35.0
37.0,z0,Sewage,1,1,Concrete,36.0
38.0,z0,Floor,6,2,Carpenter,37.0
39.0,z0,Sewage,2,3,Electrician,38.0
40.0,z0,Floor,7,2,Carpenter,39.0
41.0,z0,Gypsum,1,1,Painter,40.0
42.0,z0,Structural Walls,3,1,Concrete,41.0
43.0,z0,Electricity,7,3,Painter,42.0
44.0,z0,Gypsum,5,3,Electrician,43.0
45.0,z0,Floor,7,2,Concrete,44.0
46.0,z0,Floor,5,2,Painter,45.0
47.0,z0,Structural Walls,2,2,VVS,46.0
48.0,z0,Piping,6,2,Painter,47.0
49.0,z0,Floor,7,2,Carpenter,48.0
50.0,z0,Piping,3,2,Concrete,49.0
51.0,z0,Sewage,3,1,Concrete,50.0
52.0,z0,Structural Foundation,2,3,Painter,51.0
53.0,z0,Structural Walls,4,2,Painter,52.0
54.0,z0,Sewage,7,1,Electrician,53.0
55.0,z0,Structural Foundation,1,2,VVS,54.0
56.0,z0,Structural Walls,2,1,Carpenter,55.0
57.0,z0,Structural Walls,2,3,VVS,56.0
58.0,z0,Floor,9,1,VVS,57.0
59.0,z0,Structural Foundation,2,1,Painter,58.0
60.0,z0,Sewage,2,3,Carpenter,59.0
61.0,z0,Interior Walls,7,3,VVS,60.0
62.0,z0,Interior Walls,8,2,Carpenter,61.0
63.0,z0,Structural Foundation,1,1,Painter,62.0
64.0,z0,Piping,4,1,Carpenter,63.0
65.0,z0,Interior Walls,5,3,Electrician,64.0
66.0,z0,Sewage,5,1,Electrician,65.0
67.0,z0,Interior Walls,5,3,Electrician,66.0
68.0,z0,Electricity,3,1,Concrete,67.0
69.0,z0,Interior Walls,3,2,VVS,68.0
70.0,z0,Sewage,5,2,VVS,69.0
71.0,z0,Structural Walls,7,3,Electrician,70.0
72.0,z0,Interior Walls,5,1,Concrete,71.0
73.0,z0,Sewage,5,2,Carpenter,72.0
74.0,z0,Electricity,1,3,VVS,73.0
75.0,z0,Structural Foundation,3,3,Carpenter,74.0
76.0,z0,Gypsum,2,1,Concrete,75.0
77.0,z0,Interior Walls,7,2,Painter,76.0
78.0,z0,Gypsum,8,2,Painter,77.0
79.0,z0,Electricity,5,3,VVS,78.0
80.0,z0,Electricity,8,2,Electrician,79.0
81.0,z0,Structural Foundation,2,1,Carpenter,80.0
82.0,z0,Electricity,3,3,Electrician,81.0
83.0,z0,Structural Foundation,6,2,Concrete,82.0
84.0,z0,Structural Walls,7,3,Concrete,83.0
85.0,z0,Electricity,5,3,Electrician,84.0
86.0,z0,Electricity,7,3,VVS,85.0
87.0,z0,Sewage,7,2,Concrete,86.0
88.0,z0,Floor,5,3,Carpenter,87.0
89.0,z0,Piping,5,3,Carpenter,88.0
90.0,z0,Structural Walls,9,3,Painter,89.0
91.0,z0,Structural Foundation,3,2,Electrician,90.0
92.0,z0,Floor,5,2,Concrete,91.0
93.0,z0,Sewage,7,3,Painter,92.0
94.0,z0,Electricity,9,1,Concrete,93.0
95.0,z0,Interior Walls,4,3,Painter,94.0
96.0,z0,Electricity,4,3,VVS,95.0
97.0,z0,Piping,4,1,Painter,96.0
98.0,z0,Structural Foundation,7,2,Electrician,97.0
99.0,z0,Structural Foundation,7,3,Carpenter,98.0
100.0,z0,Electricity,9,3,Painter,99.0
101.0,z0,Gypsum,6,2,Painter,100.0
102.0,z0,Structural Walls,2,3,VVS,101.0
103.0,z0,Floor,2,3,Painter,102.0
104.0,z0,Floor,7,2,Electrician,103.0
105.0,z0,Structural Walls,2,2,Painter,104.0
106.0,z0,Interior Walls,9,1,Concrete,105.0
107.0,z0,Structural Walls,9,1,Concrete,106.0
108.0,z0,Structural Walls,5,2,Concrete,107.0
109.0,z0,Sewage,6,1,Painter,108.0
110.0,z0,Interior Walls,7,3,Painter,109.0
111.0,z0,Floor,6,1,VVS,110.0
112.0,z0,Floor,8,2,Concrete,111.0
113.0,z0,Gypsum,5,1,Electrician,112.0
114.0,z0,Structural Walls,7,2,Carpenter,113.0
115.0,z0,Structural Foundation,8,3,Concrete,114.0
116.0,z0,Floor,8,2,VVS,115.0
117.0,z0,Floor,2,2,VVS,116.0
118.0,z0,Piping,6,2,Carpenter,117.0
119.0,z0,Interior Walls,5,3,Concrete,118.0
120.0,z0,Structural Foundation,2,2,Concrete,119.0
121.0,z0,Gypsum,4,1,VVS,120.0
122.0,z0,Electricity,5,1,Concrete,121.0
123.0,z0,Gypsum,2,2,Painter,122.0
124.0,z0,Electricity,5,1,Painter,123.0
125.0,z0,Sewage,8,1,VVS,124.0
126.0,z0,Floor,4,1,Electrician,125.0
127.0,z0,Interior Walls,6,1,VVS,126.0
128.0,z0,Floor,1,2,Painter,127.0
129.0,z0,Gypsum,3,3,VVS,128.0
130.0,z0,Piping,1,3,Carpenter,129.0
131.0,z0,Interior Walls,1,1,Carpenter,130.0
132.0,z0,Piping,5,2,Electrician,131.0
133.0,z0,Structural Walls,2,3,Carpenter,132.0
134.0,z0,Floor,1,3,VVS,133.0
135.0,z0,Electricity,3,3,Electrician,134.0
136.0,z0,Piping,8,3,Carpenter,135.0
137.0,z0,Piping,3,3,VVS,136.0
138.0,z0,Sewage,5,3,VVS,137.0
139.0,z0,Piping,3,1,Concrete,138.0
140.0,z0,Structural Walls,4,3,Carpenter,139.0
141.0,z0,Interior Walls,7,1,Concrete,140.0
142.0,z0,Piping,9,3,VVS,141.0
143.0,z0,Piping,6,2,Painter,142.0
144.0,z0,Gypsum,8,1,Carpenter,143.0
145.0,z0,Sewage,1,2,Carpenter,144.0
146.0,z0,Floor,8,2,Concrete,145.0
147.0,z0,Electricity,6,2,VVS,146.0
148.0,z0,Structural Foundation,1,2,VVS,147.0
149.0,z0,Interior Walls,4,3,Carpenter,148.0
150.0,z1,Electricity,7,1,Concrete,149.0
151.0,z1,Electricity,6,2,Carpenter,150.0
152.0,z1,Structural Foundation,9,1,Electrician,151.0
153.0,z1,Interior Walls,2,3,Painter,152.0
154.0,z1,Structural Foundation,2,3,VVS,153.0
155.0,z1,Electricity,6,3,Carpenter,154.0
156.0,z1,Sewage,3,3,Concrete,155.0
157.0,z1,Gypsum,3,2,Painter,156.0
158.0,z1,Structural Walls,7,1,Painter,157.0
159.0,z1,Interior Walls,7,1,Electrician,158.0
160.0,z1,Structural Foundation,6,2,Carpenter,159.0
161.0,z1,Piping,8,1,Painter,160.0
162.0,z1,Structural Walls,5,1,Painter,161.0
163.0,z1,Floor,5,2,VVS,162.0
164.0,z1,Sewage,1,3,Painter,163.0
165.0,z1,Interior Walls,6,2,Electrician,164.0
166.0,z1,Electricity,5,1,Electrician,165.0
167.0,z1,Gypsum,4,1,Concrete,166.0
168.0,z1,Piping,4,3,VVS,167.0
169.0,z1,Interior Walls,7,2,VVS,168.0
170.0,z1,Structural Walls,5,2,VVS,169.0
171.0,z1,Floor,9,2,Painter,170.0
172.0,z1,Structural Walls,5,3,Carpenter,171.0
173.0,z1,Piping,1,3,Concrete,172.0
174.0,z1,Floor,8,3,Electrician,173.0
175.0,z1,Structural Foundation,3,1,Painter,174.0
176.0,z1,Gypsum,4,1,VVS,175.0
