Id,Zone,Task operation,Duration,Resources,Craft,Construciton order
0.0,z0,Gypsum,7,2,Painter,
1.0,z0,Piping,5,1,Painter,0.0
2.0,z0,Piping,2,1,VVS,1.0
3.0,z0,Sewage,2,2,Painter,2.0
4.0,z0,Structural Foundation,3,3,Electrician,3.0
5.0,z0,Gypsum,6,2,Concrete,4.0
6.0,z0,Structural Foundation,2,2,Painter,5.0
7.0,z0,Structural Foundation,3,2,Electrician,6.0
8.0,z0,Sewage,9,2,Carpenter,7.0
9.0,z0,Structural Walls,8,1,Carpenter,8.0
10.0,z0,Gypsum,4,2,Concrete,9.0
11.0,z0,Piping,9,1,Electrician,10.0
12.0,z0,Structural Foundation,8,3,Concrete,11.0
13.0,z0,Interior Walls,9,1,Concrete,12.0
14.0,z0,Gypsum,6,2,VVS,13.0
15.0,z0,Interior Walls,3,3,Carpenter,14.0
16.0,z0,Electricity,8,3,Carpenter,15.0
17.0,z0,Sewage,5,2,Electrician,16.0
18.0,z0,Piping,9,2,Electrician,17.0
19.0,z0,Sewage,5,1,Painter,18.0
20.0,z0,Piping,4,3,Painter,19.0
21.0,z0,Floor,9,2,VVS,20.0
22.0,z0,Structural Foundation,7,3,Electrician,21.0
23.0,z0,Piping,3,3,Carpenter,22.0
24.0,z0,Structural Foundation,1,1,Carpenter,23.0
25.0,z0,Gypsum,8,3,Painter,24.0
26.0,z0,Floor,8,1,Painter,25.0
27.0,z0,Sewage,9,1,Electrician,26.0
28.0,z0,Structural Walls,5,3,Concrete,27.0
29.0,z0,Sewage,1,1,Concrete,28.0
30.0,z0,Electricity,5,3,VVS,29.0
31.0,z0,Interior Walls,4,2,Painter,30.0
32.0,z0,Sewage,8,1,Painter,31.0
33.0,z0,Interior Walls,4,3,Carpenter,32.0
34.0,z0,Gypsum,7,2,Carpenter,33.0
35.0,z0,Gypsum,4,3,VVS,34.0
36.0,z0,Floor,6,3,Carpenter,35.0
37.0,z0,Sewage,3,3,Concrete,36.0
38.0,z0,Gypsum,5,3,Electrician,37.0
39.0,z0,Interior Walls,8,3,Electrician,38.0
40.0,z0,Structural Foundation,3,1,Painter,39.0
41.0,z0,Structural Foundation,4,3,Painter,40.0
42.0,z0,Electricity,5,1,VVS,41.0
43.0,z0,Sewage,1,2,VVS,42.0
44.0,z0,Piping,8,1,Carpenter,43.0
45.0,z0,Structural Foundation,6,3,Electrician,44.0
46.0,z0,Piping,7,2,Carpenter,45.0
47.0,z0,Structural Walls,1,3,Painter,46.0
48.0,z0,Interior Walls,1,3,Electrician,47.0
49.0,z0,Gypsum,5,3,Electrician,48.0
50.0,z0,Interior Walls,4,3,Painter,49.0
51.0,z0,Structural Foundation,6,2,Carpenter,50.0
52.0,z0,Structural Foundation,5,1,Painter,51.0
53.0,z0,Piping,4,3,Electrician,52.0
54.0,z0,Electricity,2,2,Painter,53.0
55.0,z0,Electricity,9,2,Painter,54.0
56.0,z0,Piping,9,1,Electrician,55.0
57.0,z0,Floor,2,1,Carpenter,56.0
58.0,z0,Gypsum,4,1,Electrician,57.0
59.0,z0,Floor,9,1,Carpenter,58.0
60.0,z0,Floor,5,1,Carpenter,59.0
61.0,z0,Structural Walls,3,2,Carpenter,60.0
62.0,z0,Structural Foundation,6,2,Concrete,61.0
63.0,z0,Electricity,8,1,Electrician,62.0
64.0,z0,Gypsum,9,2,Carpenter,63.0
