Id,Zone,Task operation,Duration,Resources,Craft,Construciton order
0.0,z0,Structural Foundation,6,2,Painter,
1.0,z0,Interior Walls,4,1,Carpenter,0.0
2.0,z0,Gypsum,7,1,Electrician,1.0
3.0,z0,Interior Walls,8,1,VVS,2.0
4.0,z0,Structural Foundation,6,1,Painter,3.0
5.0,z0,Electricity,4,3,Painter,4.0
6.0,z0,Interior Walls,6,2,Carpenter,5.0
7.0,z0,Interior Walls,2,3,Painter,6.0
8.0,z0,Sewage,9,3,VVS,7.0
9.0,z0,Structural Walls,4,3,Concrete,8.0
10.0,z0,Sewage,3,1,Painter,9.0
11.0,z0,Sewage,9,1,Electrician,10.0
12.0,z0,Gypsum,8,1,Concrete,11.0
13.0,z0,Interior Walls,2,3,Electrician,12.0
14.0,z0,Floor,8,2,Carpenter,13.0
15.0,z0,Gypsum,1,2,Electrician,14.0
16.0,z0,Structural Foundation,9,3,Carpenter,15.0
17.0,z0,Floor,8,2,Electrician,16.0
18.0,z0,Structural Walls,1,1,VVS,17.0
19.0,z0,Electricity,6,2,Carpenter,18.0
20.0,z0,Interior Walls,7,2,Carpenter,19.0
21.0,z0,Structural Foundation,8,3,Concrete,20.0
22.0,z0,Electricity,4,1,Painter,21.0
23.0,z0,Structural Foundation,2,3,VVS,22.0
24.0,z0,Interior Walls,3,2,VVS,23.0
25.0,z0,Sewage,3,3,Painter,24.0
26.0,z0,Gypsum,7,2,Painter,25.0
27.0,z0,Sewage,4,2,Carpenter,26.0
28.0,z0,Structural Foundation,1,3,Carpenter,27.0
29.0,z0,Structural Foundation,7,2,Concrete,28.0
30.0,z0,Electricity,1,2,VVS,29.0
31.0,z0,Structural Foundation,3,3,Concrete,30.0
32.0,z0,Gypsum,8,2,VVS,31.0
33.0,z0,Gypsum,6,2,VVS,32.0
34.0,z0,Electricity,9,2,Painter,33.0
35.0,z0,Interior Walls,8,1,Painter,34.0
36.0,z0,Gypsum,2,3,Carpenter,35.0
37.0,z0,Sewage,2,3,Painter,36.0
38.0,z0,Electricity,4,3,Carpenter,37.0
39.0,z0,Interior Walls,2,3,Electrician,38.0
40.0,z0,Sewage,7,3,Concrete,39.0
41.0,z0,Structural Walls,5,2,Electrician,40.0
42.0,z0,Interior Walls,6,2,VVS,41.0
43.0,z0,Electricity,7,2,VVS,42.0
44.0,z0,Floor,4,2,Electrician,43.0
45.0,z0,Interior Walls,5,3,Carpenter,44.0
46.0,z0,Sewage,3,1,Carpenter,45.0
47.0,z0,Sewage,8,2,Carpenter,46.0
48.0,z0,Gypsum,9,3,Electrician,47.0
49.0,z0,Piping,6,3,VVS,48.0
50.0,z0,Floor,4,3,Concrete,49.0
51.0,z0,Interior Walls,9,1,VVS,50.0
52.0,z0,Piping,2,3,VVS,51.0
53.0,z0,Piping,8,3,Concrete,52.0
54.0,z0,Electricity,9,1,Electrician,53.0
55.0,z0,Interior Walls,1,2,VVS,54.0
56.0,z0,Structural Foundation,6,2,VVS,55.0
57.0,z0,Sewage,4,2,Carpenter,56.0
58.0,z0,Interior Walls,8,3,VVS,57.0
59.0,z0,Structural Foundation,5,3,Carpenter,58.0
60.0,z0,Structural Foundation,4,2,Carpenter,59.0
61.0,z0,Sewage,6,3,Painter,60.0
62.0,z0,Interior Walls,4,1,Electrician,61.0
