Id,Zone,Task operation,Duration,Resources,Craft,Construciton order
0.0,z0,Interior Walls,8,2,Concrete,
1.0,z0,Electricity,2,1,Painter,0.0
2.0,z0,Structural Walls,2,1,Carpenter,1.0
3.0,z0,Structural Walls,4,2,VVS,2.0
4.0,z0,Floor,2,2,Painter,3.0
5.0,z0,Structural Walls,7,2,Electrician,4.0
6.0,z0,Structural Walls,1,1,Painter,5.0
7.0,z0,Interior Walls,8,1,Electrician,6.0
8.0,z0,Structural Walls,2,1,VVS,7.0
9.0,z0,Interior Walls,3,1,Carpenter,8.0
10.0,z0,Gypsum,4,1,Concrete,9.0
11.0,z0,Gypsum,7,2,Electrician,10.0
12.0,z0,Sewage,2,2,Concrete,11.0
13.0,z0,Electricity,7,3,Carpenter,12.0
14.0,z0,Structural Walls,3,2,VVS,13.0
15.0,z0,Structural Walls,2,1,Painter,14.0
16.0,z0,Interior Walls,3,3,Painter,15.0
17.0,z0,Electricity,5,1,VVS,16.0
18.0,z0,Structural Foundation,4,1,Electrician,17.0
19.0,z0,Gypsum,7,3,Concrete,18.0
20.0,z0,Interior Walls,4,1,Painter,19.0
21.0,z0,Sewage,2,2,VVS,20.0
22.0,z0,Structural Walls,8,2,Electrician,21.0
23.0,z0,Sewage,4,1,VVS,22.0
24.0,z0,Sewage,5,2,Carpenter,23.0
25.0,z0,Electricity,1,1,Concrete,24.0
26.0,z0,Electricity,6,1,Electrician,25.0
27.0,z0,Piping,6,1,VVS,26.0
28.0,z0,Sewage,6,1,Carpenter,27.0
29.0,z0,Structural Walls,2,1,Concrete,28.0
30.0,z0,Sewage,1,3,Concrete,29.0
31.0,z0,Structural Foundation,7,3,Concrete,30.0
32.0,z0,Structural Walls,5,1,Electrician,31.0
33.0,z0,Structural Walls,3,2,Electrician,32.0
34.0,z0,Sewage,4,3,Carpenter,33.0
35.0,z0,Floor,9,1,Carpenter,34.0
36.0,z0,Floor,5,3,Electrician,35.0
37.0,z0,Gypsum,5,1,Electrician,36.0
38.0,z0,Electricity,7,1,Electrician,37.0
39.0,z0,Interior Walls,7,3,Carpenter,38.0
40.0,z0,Electricity,2,3,Electrician,39.0
41.0,z0,Structural Foundation,6,2,Painter,40.0
42.0,z0,Interior Walls,6,1,Concrete,41.0
43.0,z0,Floor,4,3,Concrete,42.0
44.0,z0,Structural Foundation,3,2,Electrician,43.0
45.0,z0,Structural Foundation,6,1,Concrete,44.0
46.0,z0,Structural Walls,1,2,Carpenter,45.0
47.0,z0,Interior Walls,9,2,Carpenter,46.0
48.0,z0,Structural Foundation,5,3,VVS,47.0
49.0,z0,Interior Walls,3,3,VVS,48.0
50.0,z0,Gypsum,7,3,Electrician,49.0
51.0,z0,Structural Walls,4,1,Concrete,50.0
52.0,z0,Structural Foundation,5,1,Electrician,51.0
53.0,z0,Electricity,5,2,Painter,52.0
54.0,z0,Floor,1,3,Painter,53.0
55.0,z0,Sewage,6,1,Carpenter,54.0
56.0,z0,Piping,2,3,Electrician,55.0
57.0,z0,Floor,2,2,VVS,56.0
58.0,z0,Interior Walls,6,1,Carpenter,57.0
59.0,z0,Interior Walls,9,2,Concrete,58.0
60.0,z0,Electricity,6,1,Concrete,59.0
61.0,z0,Sewage,2,3,Painter,60.0
62.0,z0,Gypsum,4,2,Concrete,61.0
63.0,z0,Electricity,4,1,Electrician,62.0
64.0,z0,Floor,1,3,VVS,63.0
65.0,z0,Interior Walls,8,2,Painter,64.0
66.0,z0,Sewage,7,1,Carpenter,65.0
67.0,z0,Gypsum,9,1,VVS,66.0
68.0,z0,Floor,3,1,Painter,67.0
69.0,z0,Sewage,4,3,Electrician,68.0
70.0,z0,Piping,3,2,Painter,69.0
71.0,z0,Gypsum,8,1,Painter,70.0
72.0,z0,Gypsum,3,2,Carpenter,71.0
73.0,z0,Floor,1,1,Carpenter,72.0
74.0,z0,Electricity,5,1,VVS,73.0
75.0,z0,Gypsum,4,1,Carpenter,74.0
76.0,z0,Gypsum,8,3,Concrete,75.0
77.0,z0,Interior Walls,3,1,Concrete,76.0
78.0,z0,Sewage,3,1,Painter,77.0
79.0,z0,Structural Foundation,4,1,Electrician,78.0
80.0,z0,Structural Foundation,2,3,Concrete,79.0
81.0,z0,Structural Foundation,6,2,Carpenter,80.0
82.0,z0,Structural Walls,7,1,VVS,81.0
83.0,z0,Structural Walls,4,3,Carpenter,82.0
84.0,z0,Gypsum,3,3,Concrete,83.0
85.0,z0,Electricity,7,1,Concrete,84.0
86.0,z0,Interior Walls,7,1,Painter,85.0
87.0,z0,Floor,4,1,VVS,86.0
88.0,z0,Gypsum,7,2,Concrete,87.0
89.0,z0,Electricity,9,2,Carpenter,88.0
90.0,z0,Piping,3,2,Concrete,89.0
91.0,z0,Structural Foundation,5,1,Electrician,90.0
92.0,z0,Structural Foundation,1,3,Painter,91.0
93.0,z0,Sewage,6,2,Carpenter,92.0
94.0,z0,Sewage,7,1,Concrete,93.0
95.0,z0,Structural Walls,6,3,Painter,94.0
96.0,z0,Floor,4,3,Painter,95.0
97.0,z0,Piping,3,3,VVS,96.0
98.0,z0,Interior Walls,2,2,Electrician,97.0
99.0,z0,Structural Walls,5,2,Electrician,98.0
100.0,z0,Structural Foundation,2,3,Painter,99.0
101.0,z0,Interior Walls,9,3,Painter,100.0
102.0,z0,Gypsum,8,1,Concrete,101.0
103.0,z0,Interior Walls,9,1,Painter,102.0
104.0,z0,Structural Walls,4,1,Painter,103.0
105.0,z0,Floor,8,1,Carpenter,104.0
106.0,z0,Electricity,1,1,VVS,105.0
107.0,z0,Structural Foundation,5,2,Painter,106.0
108.0,z0,Gypsum,9,2,Electrician,107.0
109.0,z0,Structural Walls,5,3,Carpenter,108.0
110.0,z0,Sewage,5,2,Carpenter,109.0
111.0,z0,Interior Walls,9,2,Painter,110.0
112.0,z0,Structural Foundation,3,3,Electrician,111.0
113.0,z0,Piping,2,2,Electrician,112.0
114.0,z0,Structural Walls,6,3,Concrete,113.0
115.0,z0,Structural Walls,5,1,Concrete,114.0
116.0,z0,Piping,9,3,VVS,115.0
117.0,z0,Structural Foundation,5,3,Painter,116.0
118.0,z0,Sewage,2,1,VVS,117.0
119.0,z0,Floor,9,2,Painter,118.0
120.0,z0,Sewage,3,3,Painter,119.0
121.0,z0,Gypsum,4,2,Concrete,120.0
122.0,z0,Piping,9,3,Concrete,121.0
